range;linha;descricao;posto;datainicioplan;datafimplan;datainicioreal;datafimreal;fimreal_fimplan;inicioreal_inicioplan;fimreal_inicioreal;fimplan_inicioplan
1604;Porta Pax Dian.;COMPL. SUPORTAGEM;GM 4 - Suportes;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1604;Porta Pax Dian.;FRESAGEM;MIL;NULL;NULL;2019-08-21 07:00:00.000;2019-08-22 07:10:00.000;NULL;NULL;2;NULL
1604;Porta Pax Dian.;SELAGEM;Selagem Aerodinâmica + Cura;2019-08-20 06:00:00.000;2019-08-22 15:00:00.000;2019-08-22 08:00:00.000;2019-08-22 16:10:00.000;0;-2;1;3
1604;Porta Pax Dian.;PINTURA;Pintura + Dinitrol;2019-08-23 06:00:00.000;2019-08-23 15:00:00.000;2019-08-30 07:30:00.000;2019-08-30 16:20:00.000;-5;-5;1;1
1604;Porta Pax Dian.;MONT. BOX;Comp;2019-08-26 06:00:00.000;2019-08-27 10:30:00.000;2019-09-02 07:10:00.000;2019-09-03 07:30:00.000;-5;-5;2;2
1604;Porta Pax Dian.;MECANISMOS;GM 5 - Montagem Mecanismos;2019-08-27 11:00:00.000;2019-08-28 15:00:00.000;2019-09-03 08:00:00.000;2019-09-18 07:30:00.000;-15;-5;12;2
1604;Porta Pax Dian.;REGULAGEM FINAL;GM 6 - Regulagem Final;2019-08-29 06:00:00.000;2019-08-30 15:00:00.000;2019-09-18 08:00:00.000;2019-09-23 09:40:00.000;-16;-14;4;2
1604;Porta Pax Dian.;EMBALAGEM;Embalagem e Entrega;2019-09-02 06:00:00.000;2019-09-02 15:00:00.000;2019-09-23 13:00:00.000;2019-09-23 14:00:00.000;-15;-15;1;1
1604;Porta Pax Dian.;INVOICE;DELIVERY;2019-09-03 06:00:00.000;2019-09-03 06:00:00.000;2019-09-23 14:00:00.000;2019-09-23 15:00:00.000;-14;-14;1;1
1604;Porta Pax Tras.;ESTRUTURA;GM 1 - Estrutura Primária;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1604;Porta Pax Tras.;FURAÇÃO;GM 2 - Painel e Estrutura;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1604;Porta Pax Tras.;COMPL. SUPORTAGEM;GM 4 - Suportes;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1604;Porta Pax Tras.;FRESAGEM;MIL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1604;Porta Pax Tras.;SELAGEM;Selagem Aerodinâmica + Cura;2019-08-20 06:00:00.000;2019-08-22 15:00:00.000;2019-08-21 07:00:00.000;2019-08-22 07:10:00.000;0;-1;2;3
1604;Porta Pax Tras.;PINTURA;Pintura + Dinitrol;2019-08-23 06:00:00.000;2019-08-23 15:00:00.000;2019-08-30 07:20:00.000;2019-09-30 16:20:00.000;-26;-5;22;1
1604;Porta Pax Tras.;MONT. BOX;Comp;2019-08-26 06:00:00.000;2019-08-27 10:30:00.000;2019-09-02 07:30:00.000;2019-09-03 07:30:00.000;-5;-5;2;2
1604;Porta Pax Tras.;MECANISMOS;GM 5 - Montagem Mecanismos;2019-08-27 11:00:00.000;2019-08-28 15:00:00.000;2019-09-03 08:00:00.000;2019-09-20 11:00:00.000;-17;-5;14;2
1604;Porta Pax Tras.;REGULAGEM FINAL;GM 6 - Regulagem Final;2019-08-29 06:00:00.000;2019-08-30 15:00:00.000;2019-09-20 11:30:00.000;2019-09-25 10:00:00.000;-18;-16;4;2
1604;Porta Pax Tras.;EMBALAGEM;Embalagem e Entrega;2019-09-02 06:00:00.000;2019-09-02 15:00:00.000;2019-09-25 12:00:00.000;2019-09-25 13:00:00.000;-17;-17;1;1
1604;Porta Pax Tras.;INVOICE;DELIVERY;2019-09-03 06:00:00.000;2019-09-03 06:00:00.000;2019-09-27 17:10:00.000;2019-09-27 17:50:00.000;-18;-18;1;1
1605;Porta Pax Dian.;ESTRUTURA;GM 1 - Estrutura Primária;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1605;Porta Pax Dian.;FURAÇÃO;GM 2 - Painel e Estrutura;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1605;Porta Pax Dian.;COMPL. SUPORTAGEM;GM 4 - Suportes;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1605;Porta Pax Dian.;FRESAGEM;MIL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1605;Porta Pax Dian.;SELAGEM;Selagem Aerodinâmica + Cura;2019-08-22 06:00:00.000;2019-08-26 15:00:00.000;2019-08-26 07:20:00.000;2019-08-27 07:30:00.000;-1;-2;2;3
1605;Porta Pax Dian.;PINTURA;Pintura + Dinitrol;2019-08-27 06:00:00.000;2019-08-27 15:00:00.000;2019-08-27 07:40:00.000;2019-08-29 07:30:00.000;-2;0;3;1
1605;Porta Pax Dian.;MONT. BOX;Comp;2019-08-28 06:00:00.000;2019-08-29 10:30:00.000;2019-08-30 08:00:00.000;2019-09-03 08:30:00.000;-3;-2;3;2
1605;Porta Pax Dian.;MECANISMOS;GM 5 - Montagem Mecanismos;2019-08-29 11:00:00.000;2019-08-30 15:00:00.000;2019-09-18 08:30:00.000;2019-09-26 10:00:00.000;-19;-14;7;2
1605;Porta Pax Dian.;REGULAGEM FINAL;GM 6 - Regulagem Final;2019-09-02 06:00:00.000;2019-09-03 15:00:00.000;2019-09-27 08:00:00.000;2019-09-30 10:00:00.000;-19;-19;2;2
1605;Porta Pax Dian.;EMBALAGEM;Embalagem e Entrega;2019-09-04 06:00:00.000;2019-09-04 15:00:00.000;2019-09-30 14:30:00.000;2019-09-30 15:30:00.000;-18;-18;1;1
1605;Porta Pax Dian.;INVOICE;DELIVERY;2019-09-05 06:00:00.000;2019-09-05 06:00:00.000;2019-10-01 15:30:00.000;2019-10-01 16:30:00.000;-18;-18;1;1
1605;Porta Pax Tras.;ESTRUTURA;GM 1 - Estrutura Primária;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1605;Porta Pax Tras.;FURAÇÃO;GM 2 - Painel e Estrutura;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1605;Porta Pax Tras.;COMPL. SUPORTAGEM;GM 4 - Suportes;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1605;Porta Pax Tras.;FRESAGEM;MIL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1605;Porta Pax Tras.;SELAGEM;Selagem Aerodinâmica + Cura;2019-08-22 06:00:00.000;2019-08-26 15:00:00.000;2019-08-26 07:20:00.000;2019-08-27 07:00:00.000;-1;-2;2;3
1605;Porta Pax Tras.;PINTURA;Pintura + Dinitrol;2019-08-27 06:00:00.000;2019-08-27 15:00:00.000;2019-08-27 07:20:00.000;2019-08-29 07:30:00.000;-2;0;3;1
1605;Porta Pax Tras.;MONT. BOX;Comp;2019-08-28 06:00:00.000;2019-08-29 10:30:00.000;2019-08-30 08:30:00.000;2019-09-04 08:10:00.000;-4;-2;4;2
1605;Porta Pax Tras.;MECANISMOS;GM 5 - Montagem Mecanismos;2019-08-29 11:00:00.000;2019-08-30 15:00:00.000;2019-09-16 08:00:00.000;2019-09-26 07:30:00.000;-19;-12;9;2
1605;Porta Pax Tras.;REGULAGEM FINAL;GM 6 - Regulagem Final;2019-09-02 06:00:00.000;2019-09-03 15:00:00.000;2019-09-26 08:00:00.000;2019-09-30 11:00:00.000;-19;-18;3;2
1605;Porta Pax Tras.;EMBALAGEM;Embalagem e Entrega;2019-09-04 06:00:00.000;2019-09-04 15:00:00.000;2019-09-30 13:30:00.000;2019-09-30 14:30:00.000;-18;-18;1;1
1605;Porta Pax Tras.;INVOICE;DELIVERY;2019-09-05 06:00:00.000;2019-09-05 06:00:00.000;2019-10-01 15:30:00.000;2019-10-01 16:30:00.000;-18;-18;1;1
1606;Porta Pax Dian.;ESTRUTURA;GM 1 - Estrutura Primária;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1606;Porta Pax Dian.;FURAÇÃO;GM 2 - Painel e Estrutura;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1606;Porta Pax Dian.;COMPL. SUPORTAGEM;GM 4 - Suportes;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1606;Porta Pax Dian.;FRESAGEM;MIL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1606;Porta Pax Dian.;SELAGEM;Selagem Aerodinâmica + Cura;2019-09-03 06:00:00.000;2019-09-05 15:00:00.000;2019-08-29 07:30:00.000;2019-08-29 16:20:00.000;5;3;1;3
1606;Porta Pax Dian.;PINTURA;Pintura + Dinitrol;2019-09-06 06:00:00.000;2019-09-06 15:00:00.000;2019-09-02 07:40:00.000;2019-09-02 16:10:00.000;4;4;1;1
1606;Porta Pax Dian.;MONT. BOX;Comp;2019-09-09 06:00:00.000;2019-09-10 10:30:00.000;2019-09-09 07:40:00.000;2019-09-11 12:00:00.000;-1;0;3;2
1606;Porta Pax Dian.;MECANISMOS;GM 5 - Montagem Mecanismos;2019-09-10 11:00:00.000;2019-09-11 15:00:00.000;2019-09-24 08:00:00.000;2019-10-08 12:00:00.000;-19;-10;11;2
1606;Porta Pax Dian.;REGULAGEM FINAL;GM 6 - Regulagem Final;2019-09-12 06:00:00.000;2019-09-13 15:00:00.000;2019-10-08 13:00:00.000;2019-10-11 09:00:00.000;-20;-18;4;2
1606;Porta Pax Dian.;EMBALAGEM;Embalagem e Entrega;2019-09-16 06:00:00.000;2019-09-16 15:00:00.000;2019-10-11 15:30:00.000;2019-10-11 16:30:00.000;-19;-19;1;1
1606;Porta Pax Dian.;INVOICE;DELIVERY;2019-09-17 06:00:00.000;2019-09-17 06:00:00.000;2019-10-11 18:34:00.000;2019-10-11 18:50:00.000;-18;-18;1;1
1606;Porta Pax Tras.;ESTRUTURA;GM 1 - Estrutura Primária;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1606;Porta Pax Tras.;FURAÇÃO;GM 2 - Painel e Estrutura;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1606;Porta Pax Tras.;COMPL. SUPORTAGEM;GM 4 - Suportes;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1606;Porta Pax Tras.;FRESAGEM;MIL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1606;Porta Pax Tras.;SELAGEM;Selagem Aerodinâmica + Cura;2019-09-03 06:00:00.000;2019-09-05 15:00:00.000;2019-08-29 07:30:00.000;2019-09-30 07:10:00.000;-17;3;23;3
1606;Porta Pax Tras.;PINTURA;Pintura + Dinitrol;2019-09-06 06:00:00.000;2019-09-06 15:00:00.000;2019-09-02 07:30:00.000;2019-09-02 16:30:00.000;4;4;1;1
1606;Porta Pax Tras.;MONT. BOX;Comp;2019-09-09 06:00:00.000;2019-09-10 10:30:00.000;2019-09-05 07:20:00.000;2019-09-10 07:40:00.000;0;2;4;2
1606;Porta Pax Tras.;MECANISMOS;GM 5 - Montagem Mecanismos;2019-09-10 11:00:00.000;2019-09-11 15:00:00.000;2019-09-24 08:30:00.000;2019-10-07 08:00:00.000;-18;-10;10;2
1606;Porta Pax Tras.;REGULAGEM FINAL;GM 6 - Regulagem Final;2019-09-12 06:00:00.000;2019-09-13 15:00:00.000;2019-10-07 08:30:00.000;2019-10-11 11:00:00.000;-20;-17;5;2
1606;Porta Pax Tras.;EMBALAGEM;Embalagem e Entrega;2019-09-16 06:00:00.000;2019-09-16 15:00:00.000;2019-10-11 12:40:00.000;2019-10-11 13:50:00.000;-19;-19;1;1
1606;Porta Pax Tras.;INVOICE;DELIVERY;2019-09-17 06:00:00.000;2019-09-17 06:00:00.000;2019-10-11 18:34:00.000;2019-10-11 18:50:00.000;-18;-18;1;1
1607;Porta Pax Dian.;ESTRUTURA;GM 1 - Estrutura Primária;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1607;Porta Pax Dian.;FURAÇÃO;GM 2 - Painel e Estrutura;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1607;Porta Pax Dian.;COMPL. SUPORTAGEM;GM 4 - Suportes;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1607;Porta Pax Dian.;FRESAGEM;MIL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1607;Porta Pax Dian.;SELAGEM;Selagem Aerodinâmica + Cura;2019-09-10 06:00:00.000;2019-09-12 15:00:00.000;2019-09-10 07:30:00.000;2019-09-12 07:20:00.000;0;0;3;3
1607;Porta Pax Dian.;PINTURA;Pintura + Dinitrol;2019-09-13 06:00:00.000;2019-09-13 15:00:00.000;2019-09-13 07:50:00.000;2019-09-17 07:00:00.000;-2;0;3;1
1607;Porta Pax Dian.;MONT. BOX;Comp;2019-09-16 06:00:00.000;2019-09-17 10:30:00.000;2019-09-17 07:30:00.000;2019-10-04 07:00:00.000;-13;-1;14;2
1607;Porta Pax Dian.;MECANISMOS;GM 5 - Montagem Mecanismos;2019-09-17 11:00:00.000;2019-09-18 15:00:00.000;2019-10-14 07:00:00.000;2019-10-18 08:20:00.000;-22;-19;5;2
1607;Porta Pax Dian.;REGULAGEM FINAL;GM 6 - Regulagem Final;2019-09-19 06:00:00.000;2019-09-23 15:00:00.000;2019-10-18 09:00:00.000;2019-10-18 13:00:00.000;-19;-21;1;3
1607;Porta Pax Dian.;EMBALAGEM;Embalagem e Entrega;2019-09-24 06:00:00.000;2019-09-24 15:00:00.000;2019-10-19 12:00:00.000;2019-10-19 13:00:00.000;-19;-19;1;1
1607;Porta Pax Dian.;INVOICE;DELIVERY;2019-09-25 06:00:00.000;2019-09-25 06:00:00.000;2019-10-19 15:43:00.000;2019-10-19 16:20:00.000;-18;-18;1;1
1607;Porta Pax Tras.;ESTRUTURA;GM 1 - Estrutura Primária;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1607;Porta Pax Tras.;FURAÇÃO;GM 2 - Painel e Estrutura;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1607;Porta Pax Tras.;COMPL. SUPORTAGEM;GM 4 - Suportes;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1607;Porta Pax Tras.;FRESAGEM;MIL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1607;Porta Pax Tras.;SELAGEM;Selagem Aerodinâmica + Cura;2019-09-10 06:00:00.000;2019-09-12 15:00:00.000;2019-09-10 07:20:00.000;2019-09-12 16:20:00.000;0;0;3;3
1607;Porta Pax Tras.;PINTURA;Pintura + Dinitrol;2019-09-13 06:00:00.000;2019-09-13 15:00:00.000;2019-09-13 07:30:00.000;2019-09-16 07:30:00.000;-1;0;2;1
1607;Porta Pax Tras.;MONT. BOX;Comp;2019-09-16 06:00:00.000;2019-09-17 10:30:00.000;2019-09-16 08:00:00.000;2019-09-18 07:00:00.000;-1;0;3;2
1607;Porta Pax Tras.;MECANISMOS;GM 5 - Montagem Mecanismos;2019-09-17 11:00:00.000;2019-09-18 15:00:00.000;2019-10-08 08:10:00.000;2019-10-16 16:20:00.000;-20;-15;7;2
1607;Porta Pax Tras.;REGULAGEM FINAL;GM 6 - Regulagem Final;2019-09-19 06:00:00.000;2019-09-23 15:00:00.000;2019-10-17 07:00:00.000;2019-10-18 14:00:00.000;-19;-20;2;3
1607;Porta Pax Tras.;EMBALAGEM;Embalagem e Entrega;2019-09-24 06:00:00.000;2019-09-24 15:00:00.000;2019-10-19 12:00:00.000;2019-10-19 13:00:00.000;-19;-19;1;1
1607;Porta Pax Tras.;INVOICE;DELIVERY;2019-09-25 06:00:00.000;2019-09-25 06:00:00.000;2019-10-19 15:13:00.000;2019-10-19 15:43:00.000;-18;-18;1;1
1607;Porta Serv. Dian.;ESTRUTURA;GM 1 - Estrutura Primária;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1607;Porta Serv. Dian.;FURAÇÃO;GM 2 - Painel e Estrutura;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1607;Porta Serv. Dian.;COMPL. SUPORTAGEM;GM 4 - Suportes;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1607;Porta Serv. Dian.;FRESAGEM;MIL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1607;Porta Serv. Dian.;SELAGEM;Selagem Aerodinâmica + Cura;2019-08-20 06:00:00.000;2019-08-22 15:00:00.000;2019-08-23 07:30:00.000;2019-08-26 07:10:00.000;-2;-3;2;3
1607;Porta Serv. Dian.;PINTURA;Pintura + Dinitrol;2019-08-23 06:00:00.000;2019-08-23 15:00:00.000;2019-08-26 07:30:00.000;2019-08-28 15:20:00.000;-3;-1;3;1
1607;Porta Serv. Dian.;MONT. BOX;Comp;2019-08-26 06:00:00.000;2019-08-27 10:30:00.000;2019-08-29 07:10:00.000;2019-09-04 07:30:00.000;-6;-3;5;2
1607;Porta Serv. Dian.;MECANISMOS;GM 5 - Montagem Mecanismos;2019-08-27 11:00:00.000;2019-08-28 15:00:00.000;2019-09-04 08:30:00.000;2019-10-05 12:00:00.000;-28;-6;23;2
1607;Porta Serv. Dian.;REGULAGEM FINAL;GM 6 - Regulagem Final;2019-08-29 06:00:00.000;2019-09-02 15:00:00.000;2019-10-05 13:20:00.000;2019-10-11 11:30:00.000;-29;-27;5;3
1607;Porta Serv. Dian.;EMBALAGEM;Embalagem e Entrega;2019-09-03 06:00:00.000;2019-09-03 15:00:00.000;2019-10-11 12:00:00.000;2019-10-11 13:00:00.000;-28;-28;1;1
1607;Porta Serv. Dian.;INVOICE;DELIVERY;2019-09-04 06:00:00.000;2019-09-04 06:00:00.000;2019-10-11 18:34:00.000;2019-10-11 18:50:00.000;-27;-27;1;1
1607;Porta Serv.Tras.;ESTRUTURA;GM 1 - Estrutura Primária;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1607;Porta Serv.Tras.;FURAÇÃO;GM 2 - Painel e Estrutura;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1607;Porta Serv.Tras.;COMPL. SUPORTAGEM;GM 4 - Suportes;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1607;Porta Serv.Tras.;FRESAGEM;MIL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1607;Porta Serv.Tras.;SELAGEM;Selagem Aerodinâmica + Cura;2019-08-20 06:00:00.000;2019-08-22 15:00:00.000;2019-08-23 07:20:00.000;2019-08-26 07:10:00.000;-2;-3;2;3
1607;Porta Serv.Tras.;PINTURA;Pintura + Dinitrol;2019-08-23 06:00:00.000;2019-08-23 15:00:00.000;2019-08-26 07:30:00.000;2019-08-28 15:00:00.000;-3;-1;3;1
1607;Porta Serv.Tras.;MONT. BOX;Comp;2019-08-26 06:00:00.000;2019-08-27 10:30:00.000;2019-08-29 07:20:00.000;2019-09-04 16:20:00.000;-6;-3;5;2
1607;Porta Serv.Tras.;MECANISMOS;GM 5 - Montagem Mecanismos;2019-08-27 11:00:00.000;2019-08-28 15:00:00.000;2019-09-05 07:10:00.000;2019-10-07 09:00:00.000;-28;-7;23;2
1607;Porta Serv.Tras.;REGULAGEM FINAL;GM 6 - Regulagem Final;2019-08-29 06:00:00.000;2019-08-30 15:00:00.000;2019-10-09 09:00:00.000;2019-10-11 09:50:00.000;-30;-29;3;2
1607;Porta Serv.Tras.;EMBALAGEM;Embalagem e Entrega;2019-09-03 06:00:00.000;2019-09-03 15:00:00.000;2019-10-11 14:00:00.000;2019-10-11 15:00:00.000;-28;-28;1;1
1607;Porta Serv.Tras.;INVOICE;DELIVERY;2019-09-04 06:00:00.000;2019-09-04 06:00:00.000;2019-10-11 18:34:00.000;2019-10-11 18:50:00.000;-27;-27;1;1
1608;Porta Pax Dian.;ESTRUTURA;GM 1 - Estrutura Primária;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1608;Porta Pax Dian.;FURAÇÃO;GM 2 - Painel e Estrutura;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1608;Porta Pax Dian.;COMPL. SUPORTAGEM;GM 4 - Suportes;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1608;Porta Pax Dian.;FRESAGEM;MIL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1608;Porta Pax Dian.;SELAGEM;Selagem Aerodinâmica + Cura;2019-09-16 06:00:00.000;2019-09-18 15:00:00.000;2019-10-03 08:00:00.000;2019-10-03 16:50:00.000;-11;-13;1;3
1608;Porta Pax Dian.;PINTURA;Pintura + Dinitrol;2019-09-19 06:00:00.000;2019-09-19 15:00:00.000;2019-10-04 07:30:00.000;2019-10-07 08:00:00.000;-12;-11;2;1
1608;Porta Pax Dian.;MONT. BOX;Comp;2019-09-20 06:00:00.000;2019-09-23 10:30:00.000;2019-10-11 08:10:00.000;2019-10-16 16:40:00.000;-17;-15;4;2
1608;Porta Pax Dian.;MECANISMOS;GM 5 - Montagem Mecanismos;2019-09-23 11:00:00.000;2019-09-24 15:00:00.000;2019-10-17 07:10:00.000;2019-10-22 07:50:00.000;-20;-18;4;2
1608;Porta Pax Dian.;REGULAGEM FINAL;GM 6 - Regulagem Final;2019-09-25 06:00:00.000;2019-09-27 15:00:00.000;2019-10-22 08:00:00.000;2019-10-25 10:30:00.000;-20;-19;4;3
1608;Porta Pax Dian.;EMBALAGEM;Embalagem e Entrega;2019-09-30 06:00:00.000;2019-09-30 15:00:00.000;2019-10-30 15:00:00.000;2019-10-30 16:00:00.000;-22;-22;1;1
1608;Porta Pax Dian.;INVOICE;DELIVERY;2019-10-01 06:00:00.000;2019-10-01 06:00:00.000;2019-10-30 19:59:00.000;2019-10-30 20:30:00.000;-21;-21;1;1
1608;Porta Pax Tras.;ESTRUTURA;GM 1 - Estrutura Primária;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1608;Porta Pax Tras.;FURAÇÃO;GM 2 - Painel e Estrutura;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1608;Porta Pax Tras.;COMPL. SUPORTAGEM;GM 4 - Suportes;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1608;Porta Pax Tras.;FRESAGEM;MIL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1608;Porta Pax Tras.;SELAGEM;Selagem Aerodinâmica + Cura;2019-09-16 06:00:00.000;2019-09-18 15:00:00.000;2019-09-13 07:40:00.000;2019-09-16 08:00:00.000;2;1;2;3
1608;Porta Pax Tras.;PINTURA;Pintura + Dinitrol;2019-09-19 06:00:00.000;2019-09-19 15:00:00.000;2019-09-16 09:00:00.000;2019-09-17 10:00:00.000;2;3;2;1
1608;Porta Pax Tras.;MONT. BOX;Comp;2019-09-20 06:00:00.000;2019-09-23 10:30:00.000;2019-09-18 11:00:00.000;2019-09-20 16:00:00.000;1;2;3;2
1608;Porta Pax Tras.;MECANISMOS;GM 5 - Montagem Mecanismos;2019-09-23 11:00:00.000;2019-09-24 15:00:00.000;2019-09-24 09:00:00.000;2019-10-23 08:00:00.000;-21;-1;22;2
1608;Porta Pax Tras.;REGULAGEM FINAL;GM 6 - Regulagem Final;2019-09-25 06:00:00.000;2019-09-27 15:00:00.000;2019-10-23 08:30:00.000;2019-10-25 09:00:00.000;-20;-20;3;3
